timestamp,robot,activity,python_s,robodk_s,delta_s,python_min,r1_cycles,r2_cycles
,R1,Home R1,2.624256,2.624000,0.000256,,,
,R2,Home R2,0.149436,0.149000,0.000436,,,
,R1,Operación E01,20.803255,20.802000,0.001255,,,
,R1,Operación E02,26.439135,26.437000,0.002135,,,
,GLOBAL,TOTAL,50.912936,50.591000,0.321936,,,
,R1,Home R1,0.156741,0.156000,0.000741,,,
,R2,Home R2,0.232399,0.232000,0.000399,,,
,R1,Operación E01,21.163029,21.162000,0.001029,,,
,R1,Operación E02,26.508993,26.506000,0.002993,,,
,GLOBAL,TOTAL,48.907341,48.606000,0.301341,,,
,R1,Home R1,2.673030,2.673000,0.000030,,,
,R2,Home R2,0.234782,0.233000,0.001782,,,
,R1,Operación E01,20.805931,20.804000,0.001931,,,
,R1,Operación E02,26.496082,26.495000,0.001082,,,
,GLOBAL,TOTAL,51.030375,50.717000,0.313375,,,
,R1,Home R1,2.615511,2.614000,0.001511,,,
,R2,Home R2,0.158415,0.159000,-0.000585,,,
,R1,Operación E01,20.747379,20.746000,0.001379,,,
,R1,Operación E02,26.405658,26.403000,0.002658,,,
,GLOBAL,TOTAL,50.787417,50.467000,0.320417,,,
,R1,Home R1,2.650687,2.650000,0.000687,,,
,R2,Home R2,0.155733,0.155000,0.000733,,,
,R1,Operación E01,22.856158,22.853000,0.003158,,,
,R1,Operación E02,26.433342,26.431000,0.002342,,,
,GLOBAL,TOTAL,53.217594,52.758000,0.459594,,,
,R1,Home R1,2.595475,2.595000,0.000475,,,
,R2,Home R2,0.155770,0.156000,-0.000230,,,
,R1,Operación E01,24.680050,24.676000,0.004050,,,
,R1,Operación E02,25.921362,25.919000,0.002362,,,
,GLOBAL,TOTAL,54.340389,54.055000,0.285389,,,
,R1,Home R1,3.592789,3.593000,-0.000211,,,
,R2,Home R2,0.206059,0.206000,0.000059,,,
,R1,Operación E01,25.010868,24.902000,0.108868,,,
,GLOBAL,TOTAL,29.687507,29.204000,0.483507,,,
,R1,Home R1,0.252671,0.253000,-0.000329,,,
,R2,Home R2,0.456160,0.456000,0.000160,,,
,R1,Operación E01,25.409709,25.408000,0.001709,,,
,R1,Operación E02,26.204607,26.204000,0.000607,,,
,GLOBAL,TOTAL,53.529483,53.049000,0.480483,,,
,R1,Home R1,0.580353,0.581000,-0.000647,,,
,R2,Home R2,0.186292,0.185000,0.001292,,,
,R1,Operación E01,23.893080,23.890000,0.003080,,,
